player_id,team_id,matches,goals,shirt_number,debut,coach_id,debut_game_id,career_state
1009483,11943,0,0,0,,,,FORMER_NATIONAL_PLAYER
1009483,17379,9,3,8,,,1067761.0,RECENT_NATIONAL_PLAYER
1009483,21141,0,0,20,,,1090711.0,FORMER_NATIONAL_PLAYER
1009483,34699,0,0,0,,,,FORMER_NATIONAL_PLAYER
1009499,34699,0,0,0,,,,FORMER_NATIONAL_PLAYER
1009485,11943,1,0,21,,56930.0,4046564.0,RECENT_NATIONAL_PLAYER
1009485,17379,0,0,6,,,1067761.0,RECENT_NATIONAL_PLAYER
1009485,21141,5,0,15,,5410.0,4106399.0,FORMER_NATIONAL_PLAYER
1009485,28207,0,0,0,,,,FORMER_NATIONAL_PLAYER
1009485,34699,0,0,0,,,,FORMER_NATIONAL_PLAYER
1009596,34868,0,0,5,,,,FORMER_NATIONAL_PLAYER
1009658,3437,0,0,21,,,,CURRENT_NATIONAL_PLAYER
1009658,11940,7,0,3,,95593.0,4182252.0,RECENT_NATIONAL_PLAYER
1009658,52540,1,0,3,,95593.0,4358575.0,FORMER_NATIONAL_PLAYER
1009658,53819,4,0,3,,95593.0,4317054.0,FORMER_NATIONAL_PLAYER
1009732,25514,3,0,0,,76250.0,4449872.0,RECENT_NATIONAL_PLAYER
1009732,28437,9,5,17,,69203.0,4087825.0,FORMER_NATIONAL_PLAYER
1009732,34700,0,0,0,,,,FORMER_NATIONAL_PLAYER
1009765,12395,2,0,3,,,,FORMER_NATIONAL_PLAYER
1009765,12609,3,0,15,,58621.0,4618549.0,RECENT_NATIONAL_PLAYER
1009765,20947,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1009765,33775,5,0,0,,33243.0,3916935.0,FORMER_NATIONAL_PLAYER
1009765,70910,2,0,3,,33243.0,3738363.0,FORMER_NATIONAL_PLAYER
100988,3557,1,0,12,,2886.0,2388534.0,FORMER_NATIONAL_PLAYER
100988,5148,1,0,12,,6270.0,2429573.0,FORMER_NATIONAL_PLAYER
100988,8595,1,0,12,,30518.0,2255868.0,FORMER_NATIONAL_PLAYER
100988,23488,3,0,1,,16540.0,3970058.0,FORMER_NATIONAL_PLAYER
100988,24978,1,0,0,,,,FORMER_NATIONAL_PLAYER
100988,41525,2,0,0,,,,FORMER_NATIONAL_PLAYER
100986,3382,73,9,15,,430.0,2379650.0,CURRENT_NATIONAL_PLAYER
100986,9315,7,1,10,,1848.0,1134874.0,FORMER_NATIONAL_PLAYER
100986,34680,1,0,17,,,,FORMER_NATIONAL_PLAYER
1009730,25514,1,0,0,,,,FORMER_NATIONAL_PLAYER
1009730,28164,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1009730,28437,0,0,0,,,,FORMER_NATIONAL_PLAYER
1009730,31200,4,1,0,,61445.0,4575336.0,CURRENT_NATIONAL_PLAYER
1009730,34700,3,0,14,,61445.0,4082669.0,FORMER_NATIONAL_PLAYER
1009733,25514,5,1,7,,76250.0,4553257.0,RECENT_NATIONAL_PLAYER
1009733,28437,0,0,0,,,,FORMER_NATIONAL_PLAYER
1010120,16371,12,1,18,,1863.0,3926547.0,FORMER_NATIONAL_PLAYER
1010120,16372,11,2,8,,1863.0,4174454.0,FORMER_NATIONAL_PLAYER
1010120,16373,9,1,8,,10566.0,4454042.0,CURRENT_NATIONAL_PLAYER
1010120,23137,4,0,15,,1863.0,3807412.0,FORMER_NATIONAL_PLAYER
1010120,30503,0,0,0,,,,FORMER_NATIONAL_PLAYER
101015,3670,4,0,8,,6566.0,927831.0,FORMER_NATIONAL_PLAYER
1010296,28164,0,0,0,,,,RECENT_NATIONAL_PLAYER
1010296,28437,0,0,0,,,,FORMER_NATIONAL_PLAYER
1010296,31200,2,1,0,,84353.0,4573375.0,RECENT_NATIONAL_PLAYER
1010296,34700,7,1,8,,61445.0,3968417.0,FORMER_NATIONAL_PLAYER
1010296,47231,0,0,0,,,,FORMER_NATIONAL_PLAYER
1010300,11946,5,3,11,,61445.0,4387516.0,RECENT_NATIONAL_PLAYER
1010300,25514,17,1,11,,,,FORMER_NATIONAL_PLAYER
1010300,28164,6,0,0,,61445.0,4310377.0,RECENT_NATIONAL_PLAYER
1010243,34950,2,0,14,,7907.0,3967589.0,FORMER_NATIONAL_PLAYER
101031,3504,33,0,22,,5595.0,911990.0,CURRENT_NATIONAL_PLAYER
101031,22991,9,0,1,,,,FORMER_NATIONAL_PLAYER
1010640,13958,1,0,22,,15093.0,4708650.0,CURRENT_NATIONAL_PLAYER
1010640,25514,3,1,15,,76250.0,3815218.0,FORMER_NATIONAL_PLAYER
1010852,26092,7,0,15,,,,FORMER_NATIONAL_PLAYER
1010852,51023,9,0,6,,108221.0,3925099.0,FORMER_NATIONAL_PLAYER
1010818,3856,1,0,5,,98314.0,4201639.0,FORMER_NATIONAL_PLAYER
1010818,39099,0,0,0,,,,FORMER_NATIONAL_PLAYER
1010853,25514,0,0,0,,,,FORMER_NATIONAL_PLAYER
1010903,11946,0,0,0,,,,FORMER_NATIONAL_PLAYER
1010903,28164,4,0,0,,24972.0,4242132.0,FORMER_NATIONAL_PLAYER
1010854,10831,17,5,20,,7201.0,3929285.0,FORMER_NATIONAL_PLAYER
1010854,10844,2,0,21,,24086.0,3773852.0,FORMER_NATIONAL_PLAYER
1010854,23101,14,0,8,,42042.0,4263218.0,RECENT_NATIONAL_PLAYER
1010854,23658,1,1,0,,42042.0,4444785.0,FORMER_NATIONAL_PLAYER
1010854,25250,1,0,20,,7201.0,4196861.0,FORMER_NATIONAL_PLAYER
1010904,28437,3,1,6,,69203.0,4087825.0,FORMER_NATIONAL_PLAYER
1010904,32643,11,0,6,,108267.0,4386479.0,CURRENT_NATIONAL_PLAYER
1010904,45284,1,0,13,,108267.0,4500011.0,FORMER_NATIONAL_PLAYER
1011147,21340,11,3,11,,105317.0,4447743.0,CURRENT_NATIONAL_PLAYER
1011147,23260,12,10,11,,94541.0,4174250.0,FORMER_NATIONAL_PLAYER
1011147,30322,15,7,10,,94541.0,3901676.0,FORMER_NATIONAL_PLAYER
1011147,53638,4,1,19,,105317.0,3784006.0,FORMER_NATIONAL_PLAYER
1011115,16418,0,0,0,,,,FORMER_NATIONAL_PLAYER
1011115,26092,0,0,9,,,,FORMER_NATIONAL_PLAYER
101119,3377,39,9,0,,2551.0,2845237.0,FORMER_NATIONAL_PLAYER
101119,9323,5,3,0,,51271.0,3395518.0,FORMER_NATIONAL_PLAYER
1011200,23658,3,0,2,,7215.0,3968427.0,FORMER_NATIONAL_PLAYER
101118,9567,2,0,23,,6765.0,1076359.0,FORMER_NATIONAL_PLAYER
101118,12609,4,0,1,,,982113.0,FORMER_NATIONAL_PLAYER
101118,35742,1,0,0,,6765.0,1188828.0,FORMER_NATIONAL_PLAYER
101123,3380,43,0,0,,4.0,2925417.0,FORMER_NATIONAL_PLAYER
101123,16868,1,0,0,,614.0,2977107.0,FORMER_NATIONAL_PLAYER
101132,3380,73,1,0,,3324.0,2243754.0,FORMER_NATIONAL_PLAYER
101132,16868,1,0,0,,614.0,2977107.0,FORMER_NATIONAL_PLAYER
1011669,22513,6,0,0,,109318.0,4182736.0,FORMER_NATIONAL_PLAYER
